product_id,url,domain,category,subcategory,product_name
jac3440893040627,https://www.cdiscount.com/bricolage/sanitaire-cuisine/mitigeur-evier-kumin-bec-tube-orientable-finit/f-1660902-jac3440893040627.html,www.cdiscount.com,bricolage,sanitaire-cuisine,mitigeur-evier-kumin-bec-tube-orientable-finit
jac3440893572012,https://www.cdiscount.com/bricolage/sanitaire-cuisine/jacob-delafon-robinet-mitigeur-cuisine-raphael-e23/f-1660902-jac3440893572012.html,www.cdiscount.com,bricolage,sanitaire-cuisine,jacob-delafon-robinet-mitigeur-cuisine-raphael-e23
jac3440893948435,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/jacob-delafon-receveur-de-douche-extra-plat-ipso-e/f-166100202-jac3440893948435.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,jacob-delafon-receveur-de-douche-extra-plat-ipso-e
jac3440893948473,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/jacob-delafon-e62306-wpm-receveur-de-douche-extra/f-166100202-jac3440893948473.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,jacob-delafon-e62306-wpm-receveur-de-douche-extra
jac3440893968761,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/ensemble-de-douche-awaken-barre-de-douche-port/f-166100106-jac3440893968761.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,ensemble-de-douche-awaken-barre-de-douche-port
jac3440893990946,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/jacob-delafon-colonne-de-douche-mecanique-colette/f-166100106-jac3440893990946.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,jacob-delafon-colonne-de-douche-mecanique-colette
jac3440894209986,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/jacob-delafon-pare-bain-serenity-e4937-ga-1-volet/f-166100307-jac3440894209986.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,jacob-delafon-pare-bain-serenity-e4937-ga-1-volet
jbl6925281961724,https://www.cdiscount.com/high-tech/casques-baladeur-hifi/ecouteurs-sans-fil-jbl-vibe-buds-noir/f-1065420-jbl6925281961724.html,www.cdiscount.com,high-tech,casques-baladeur-hifi,ecouteurs-sans-fil-jbl-vibe-buds-noir
jbl6925281973918,https://www.cdiscount.com/high-tech/enceintes-sans-fil-bluetooth/enceinte-portable-jbl-partybox-310-noir/f-10684-jbl6925281973918.html,www.cdiscount.com,high-tech,enceintes-sans-fil-bluetooth,enceinte-portable-jbl-partybox-310-noir
jcelliorfix180mo,https://www.cdiscount.com/maison/meubles-mobilier/table-a-manger-fixe-ellior-melamine-decor-chene/f-117600903-jcelliorfix180mo.html,www.cdiscount.com,maison,meubles-mobilier,table-a-manger-fixe-ellior-melamine-decor-chene
jpchenicebl,https://www.cdiscount.com/vin-champagne/cremants-et-autres-bulles/jp-chenet-ice-edition-vin-effervescent-blanc/f-1295612-jpchenicebl.html,www.cdiscount.com,vin-champagne,cremants-et-autres-bulles,jp-chenet-ice-edition-vin-effervescent-blanc
