PRODUCT_ID,DATEJ,TYPE,PRIXMOY,IPMOY,NBNOUVEAUX,CLIENTS,PCTG
0397ENSE,12/04/2024,1P,44999,"81,31607195",0,5,0
0397ENSE,13/04/2024,1P,44999,"83,33972297",0,0,0
0397ENSE,14/04/2024,1P,44999,"85,46228399",0,0,0
0397ENSE,15/04/2024,1P,44999,"84,5303307",0,5,0
0397ENSE,16/04/2024,1P,49999,"93,46566287",0,10,0
0397ENSE,17/04/2024,1P,49999,"93,99278793",0,5,0
0397TABL,17/02/2024,1P,23499,"101,7795093",0,0,0
0397TABL,18/02/2024,1P,23499,"101,7759371",0,15,0
0397TABL,19/02/2024,1P,23499,"101,7759371",0,5,0
0397TABL,20/02/2024,1P,21999,"96,48759606",0,5,0
0397TABL,22/02/2024,1P,21999,"96,51130142",0,5,0
0397TABL,23/02/2024,1P,22999,"100,0210585",0,5,0
0397TABL,24/02/2024,1P,22999,"100,0210585",0,0,0
0397TABL,25/02/2024,1P,22999,"100,0210585",0,0,0
0397TABL,26/02/2024,1P,22999,"100,0210585",0,5,0
0397TABL,27/02/2024,1P,22999,"100,0210585",0,0,0
0397TABL,28/02/2024,1P,22999,"100,0210585",0,5,0
0397TABL,29/02/2024,1P,22999,"99,97895032",0,0,0
0397TABL,01/03/2024,1P,22999,"99,97895032",0,5,0
0397TABL,02/03/2024,1P,22999,"99,97895032",0,10,0
0397TABL,03/03/2024,1P,22999,"99,95790951",0,0,0
0397TABL,04/03/2024,1P,22999,"99,95790951",0,0,0
0397TABL,05/03/2024,1P,22999,"99,95790951",0,5,0
0397TABL,06/03/2024,1P,22999,"99,95790951",0,0,0
0397TABL,08/03/2024,1P,22999,"99,95790951",0,5,0
0397TABL,09/03/2024,1P,22999,"99,95790951",0,0,0
0397TABL,10/03/2024,1P,23499,"101,7116801",0,0,0
0397TABL,11/03/2024,1P,23499,"101,7116801",0,0,0
0397TABL,12/03/2024,1P,22999,"99,95790951",0,0,0
0397TABL,13/03/2024,1P,22999,"99,95440356",0,0,0
0397TABL,14/03/2024,1P,22999,"99,95790951",0,0,0
0397TABL,15/03/2024,1P,22999,"99,95790951",0,5,0
0397TABL,16/03/2024,1P,19999,"89,43528587",0,5,0
0397TABL,17/03/2024,1P,19999,"89,43528587",0,0,0
0397TABL,18/03/2024,1P,19999,"89,43528587",0,10,0
0397TABL,19/03/2024,1P,19999,"91,002534",0,0,0
0397TABL,20/03/2024,1P,19999,"91,002534",0,5,0
0397TABL,21/03/2024,1P,19999,"91,02852451",0,5,0
0397TABL,22/03/2024,1P,19999,"91,02852451",0,5,0
0397TABL,23/03/2024,1P,19999,"91,02852451",0,0,0
0397TABL,24/03/2024,1P,19999,"91,02852451",0,5,0
0397TABL,25/03/2024,1P,19999,"91,02852451",0,0,0
0397TABL,26/03/2024,1P,19999,"91,02852451",0,5,0
0397TABL,27/03/2024,1P,19999,"91,03502446",0,10,0
0397TABL,28/03/2024,1P,19999,"91,02852451",0,10,0
0397TABL,29/03/2024,1P,19999,"91,02852451",0,0,0
0397TABL,30/03/2024,1P,19999,"91,02852451",0,0,0
0397TABL,31/03/2024,1P,19999,"91,02852451",0,10,0
0397TABL,01/04/2024,1P,19999,"91,03502446",0,5,0
0397TABL,02/04/2024,1P,22999,"101,7386027",0,5,0
0397TABL,03/04/2024,1P,22999,"101,7386027",0,0,0
0397TABL,04/04/2024,1P,22999,"101,7386027",0,0,0
0397TABL,05/04/2024,1P,22999,"96,48237803",0,0,0
0397TABL,06/04/2024,1P,22999,"96,48237803",0,5,0
0397TABL,07/04/2024,1P,22999,"96,48237803",0,5,0
0397TABL,08/04/2024,1P,22999,"96,48237803",0,0,0
0397TABL,09/04/2024,1P,22999,"96,48237803",0,5,0
0397TABL,10/04/2024,1P,22999,"96,48237803",0,0,0
0397TABL,11/04/2024,1P,22999,"96,48237803",0,0,0
0397TABL,12/04/2024,1P,19999,"86,32562549",0,5,0
0397TABL,13/04/2024,1P,19999,"86,35486165",0,5,0
0397TABL,14/04/2024,1P,19999,"86,39875305",0,5,0
0397TABL,15/04/2024,1P,19999,"89,21623513",0,0,0
0397TABL,16/04/2024,1P,22999,"100,970805",0,5,0
0397TABL,17/04/2024,1P,22999,"100,970805",0,0,0
03K11743,17/02/2024,1P,13999,"86,7580315",0,0,0
03K11743,18/02/2024,1P,13999,"86,7580315",0,0,0
03K11743,19/02/2024,1P,13999,"86,7580315",0,5,0
03K11743,20/02/2024,1P,13999,"86,7580315",0,5,0
03K11743,21/02/2024,1P,13999,"86,7580315",0,5,0
03K11743,22/02/2024,1P,13999,"86,7580315",0,0,0
03K11743,23/02/2024,1P,13999,"86,7580315",0,5,0
03K11743,24/02/2024,1P,13999,"86,7580315",0,0,0
03K11743,25/02/2024,1P,13999,"86,7580315",0,0,0
03K11743,26/02/2024,1P,13999,"86,7580315",0,0,0
03K11743,27/02/2024,1P,13999,"86,7580315",0,5,0
03K11743,28/02/2024,1P,13999,"86,7580315",0,5,0
03K11743,29/02/2024,1P,13999,"86,7580315",0,5,0
03K11743,01/03/2024,1P,13999,"86,7580315",0,0,0
03K11743,02/03/2024,1P,14499,"88,9828246",0,0,0
03K11743,03/03/2024,1P,14499,"88,9828246",0,0,0
03K11743,04/03/2024,1P,14499,"88,9828246",0,5,0
03K11743,05/03/2024,1P,13999,"86,7580315",0,0,0
03K11743,06/03/2024,1P,13999,"86,7580315",0,5,0
03K11743,07/03/2024,1P,13999,"93,08698558",0,0,0
03K11743,08/03/2024,1P,13999,"98,24154784",0,0,0
03K11743,09/03/2024,1P,14999,"103,2800927",0,0,0
03K11743,10/03/2024,1P,14999,"103,2800927",0,0,0
03K11743,11/03/2024,1P,14999,"103,2800927",0,0,0
03K11743,12/03/2024,1P,14999,"102,4951248",0,0,0
03K11743,13/03/2024,1P,14999,"102,4951248",0,5,0
03K11743,14/03/2024,1P,14999,"102,4951248",0,0,0
03K11743,15/03/2024,1P,14999,"102,4951248",0,0,0
03K11743,16/03/2024,1P,14999,"102,4951248",0,0,0
03K11743,17/03/2024,1P,14999,"102,4951248",0,0,0
03K11743,18/03/2024,1P,14999,"102,4951248",0,0,0
03K11743,19/03/2024,1P,13999,"97,49487474",0,5,0
03K11743,20/03/2024,1P,13999,"97,49487474",0,0,0
03K11743,21/03/2024,1P,13999,"97,49974998",0,5,0
03K11743,22/03/2024,1P,13999,"97,49974998",0,0,0
03K11743,23/03/2024,1P,13999,"97,49974998",0,5,0
03K11743,24/03/2024,1P,13999,"97,49974998",0,0,0
03K11743,25/03/2024,1P,13999,"97,49974998",0,0,0
